Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147222,41616794,G,28.8201,3.30279,-8.97048,27.1884,9.55918,1.768,-1.21801,1,T,18.0724,-0.0259752,-4.26711,17.561,4.26719,2.12232,-1.57688,-1,3.22787
147222,41653178,G,11.3113,1.26883,3.18509,-10.7787,3.42852,-1.86298,1.1917,1,T,2.93964,0.912986,-0.274108,-2.77878,0.953246,-1.79124,-0.29167,-1,2.45982
147222,41694394,G,11.5942,-3.71426,-6.69201,-8.70839,7.65367,-0.97554,-2.07749,1,G,6.49,5.7099,-2.90855,1.02289,6.40801,0.158957,-0.471129,-1,13.108
147222,41748970,G,20.2959,9.74112,5.2762,-17.0055,11.0782,-1.21404,0.496404,-1,T,4.99374,1.0948,3.54661,-3.33904,3.71174,-0.808562,1.27139,1,5.51443
147222,41810698,G,39.3178,24.6019,3.96322,-30.4124,24.9191,-1.029,0.159722,1,G,43.3338,-17.2375,6.77657,39.176,18.5217,1.49397,2.76702,-1,81.1475
147222,41829218,G,5.24969,-2.83392,-4.32557,0.897967,5.17124,0.172785,-2.15079,1,G,7.07465,4.42776,-5.51452,0.156884,7.07212,0.0221817,-0.894273,1,7.17
147222,41894594,G,55.0417,-0.810887,24.7261,-49.1685,24.7394,-1.43801,1.60358,-1,T,4.22518,1.37928,-3.61833,1.68709,3.8723,0.422958,-1.20661,1,28.4995
147222,41922506,G,13.2162,7.5151,-10.1729,3.83287,12.6477,0.298591,-0.934543,1,T,2.84971,-0.590652,-0.596091,-2.7213,0.839163,-1.89257,-2.35161,-1,9.64143
147222,41948034,G,27.2787,1.84038,-15.5036,-22.3688,15.6125,-1.15687,-1.45264,1,G,5.20366,-0.394058,-3.81726,-3.51286,3.83755,-0.820265,-1.67366,-1,3.13858
147222,42001370,G,11.4817,-1.71981,-7.08776,8.86706,7.29343,1.02602,-1.80884,1,G,14.4835,-1.32155,-11.3516,8.89693,11.4283,0.715791,-1.68669,-1,3.06169
147222,42019026,G,14.889,4.10867,0.954234,14.2786,4.21802,1.93368,0.228203,-1,T,2.89393,-0.10847,0.775794,2.78389,0.783341,1.98041,1.70971,-1,2.47148
147222,42046602,G,19.2466,0.150305,9.27187,16.8651,9.27309,1.35949,1.55459,1,T,4.03847,-1.93071,-3.45743,-0.785236,3.95999,-0.197016,-2.08008,-1,15.7053
147222,42088434,G,14.3206,-3.34904,3.9636,13.3469,5.18904,1.67369,2.27235,-1,T,4.19513,0.191784,2.58859,3.294,2.59568,1.05943,1.49684,-1,3.60698
147222,42133194,G,6.99573,0.501952,3.18158,6.20924,3.22093,1.41086,1.41432,-1,G,10.9559,5.60523,-3.98391,8.5282,6.87678,1.04142,-0.617903,1,8.19311
147222,42141922,G,7.48611,-5.87819,4.5209,-1.01931,7.41564,-0.137025,2.48598,-1,T,3.93643,-0.900166,0.395486,3.8102,0.983213,2.064,2.72763,1,7.25041
147222,42176690,G,10.2354,5.70162,-6.15936,-5.8571,8.39322,-0.650894,-0.823971,1,T,20.5286,-13.1095,13.7913,7.70398,19.0279,0.394562,2.33086,-1,28.8077
147222,42214658,G,24.5543,1.95119,7.29819,-23.3631,7.55451,-1.84733,1.30955,1,G,6.54082,2.20025,5.79226,-2.09279,6.19608,-0.331647,1.20777,1,11.4155
147222,42262458,G,30.4102,-6.38546,-19.6373,22.3242,20.6494,0.937578,-1.88518,-1,T,3.33378,-0.859352,0.520244,3.17707,1.00456,1.86866,2.59722,1,8.3899
147222,41686731,G,31.6257,-8.23187,4.83713,30.1499,9.54786,1.86719,2.61033,1,T,5.39375,-0.68318,1.65508,5.08679,1.79053,1.76691,1.96227,-1,2.68215
147222,41687739,G,10.3113,0.661493,-4.99893,8.99356,5.04251,1.34242,-1.43923,-1,G,6.77273,-2.44189,3.87635,4.98696,4.58137,0.94261,2.13294,1,9.59051
147222,41773227,G,10.8037,-5.09684,-0.546001,-9.50966,5.126,-1.37693,-3.03487,-1,G,15.5568,0.616873,3.24905,15.2008,3.3071,2.23006,1.38317,-1,25.2014
147222,41810971,G,9.92512,3.71773,-1.67512,-9.04816,4.07769,-1.53747,-0.423334,1,G,4.08886,-3.50501,1.44975,1.52339,3.793,0.391551,2.7494,-1,11.8183
147222,41801395,G,7.75125,-3.91471,-6.67609,0.418964,7.73919,0.0541089,-2.10114,-1,T,3.81012,-3.46544,-1.41712,-0.698791,3.744,-0.185576,-2.75341,-1,3.69054
147222,41949699,G,11.2602,-5.02749,3.70741,-9.36802,6.24664,-1.19459,2.50619,-1,G,4.37723,2.97972,2.6726,-1.76847,4.00269,-0.428579,0.731116,1,8.69535
147222,41957339,G,13.8511,2.35717,2.67424,-13.3841,3.5648,-2.03339,0.848333,1,T,3.43792,1.0776,-0.445974,-3.23234,1.16624,-1.74363,-0.392395,-1,2.45796
147222,41958931,G,29.8138,5.52341,7.2435,-28.3879,9.10914,-1.85463,0.919322,1,T,3.28176,0.759048,-0.196224,-3.18498,0.784001,-2.10975,-0.252976,-1,3.05502
147222,42055043,G,7.68411,-5.02405,3.18644,4.86209,5.94932,0.746083,2.57638,1,T,18.6999,4.76166,-16.3517,-7.72157,17.0309,-0.439136,-1.28743,-1,22.6836
147222,42158467,G,10.5943,-3.66661,-4.52646,-8.84851,5.82519,-1.20526,-2.25163,-1,G,21.8412,-3.38241,-8.62676,-19.7779,9.26615,-1.50218,-1.94446,1,3.14606
147222,42212579,G,4.64795,-2.44526,2.42297,-3.12125,3.44239,-0.813845,2.36077,-1,G,16.052,-3.24669,10.6319,-11.5792,11.1166,-0.910495,1.86717,1,3.09154
147222,42278075,G,14.4495,7.51988,1.5031,12.2462,7.66863,1.24735,0.197283,1,T,16.4772,-1.71439,2.81306,-16.1441,3.29431,-2.29276,2.11813,1,29.815
147222,41601484,G,44.8864,6.54217,9.38987,43.4029,11.4442,2.04313,0.962271,-1,T,4.26201,-0.85296,1.7783,3.77672,1.97228,1.40492,2.01803,1,5.70594
147222,41634364,G,8.92546,3.7085,1.41607,-7.9934,3.96966,-1.44971,0.364757,1,G,9.59792,-5.02703,-0.545056,8.15725,5.05649,1.25597,-3.03359,1,18.4551
147222,41670044,G,6.07374,-1.50498,-4.11825,-4.20169,4.38462,-0.851562,-1.92116,1,G,7.92286,-3.99667,4.74687,4.92488,6.20533,0.727704,2.2706,-1,12.8343
147222,41680036,G,15.0002,2.00794,-3.08356,14.5415,3.6797,2.08296,-0.993595,-1,G,6.92663,1.49682,5.44181,4.01414,5.64392,0.661845,1.30237,-1,10.8918
147222,41678180,G,11.0264,-6.56614,-8.85502,-0.208823,11.0239,-0.0189417,-2.20885,1,T,5.25556,1.05432,-0.160993,5.14512,1.06654,2.27735,-0.151528,1,11.3607
147222,41730292,G,44.7398,3.72731,-14.0669,42.3069,14.5523,1.78869,-1.31178,-1,T,8.66854,-0.421254,-1.92555,8.44081,1.97109,2.161,-1.78617,-1,3.23102
